# Step 22 — Multi-Layer Cascade (AS→IP→Domain)

          AS      IPs    Domains   Orphaned      %
       16276   84,798  2,971,159  2,966,700  99.8%
       13335   65,914  1,077,085  1,075,325  99.8%
        8560   12,254    862,583    862,179 100.0%
       16509   29,232    803,558    800,145  99.6%
       29097    1,047    676,885    676,048  99.9%
       39570      101    597,120    595,661  99.8%
       51468    1,103    542,317    542,278 100.0%
       29222   10,480    533,005    532,454  99.9%
       24940   26,432    512,604    510,454  99.6%
      396982    5,471    435,287    434,520  99.8%
       50474    1,277    383,826    383,100  99.8%
       21069    2,308    356,076    355,879  99.9%
       47583   21,677    342,785    342,053  99.8%
       29169      275    334,765    334,272  99.9%
       51013      804    329,835    329,597  99.9%
       58182       30    201,977    201,377  99.7%
       47302      448    176,741    176,559  99.9%
       39729      345    167,777    167,611  99.9%
      210403    1,382    141,865    141,540  99.8%
      207143    1,260    135,671    135,474  99.9%

  Top 5 AS single-failure: 6,380,397 orphaned domains
